,datetime,SOC
60,10/11/17 0:00,0.398004783
70,10/11/17 0:15,0.407216618
187,10/11/17 1:00,0.435836628
183,10/11/17 5:32,0.439894885
97,10/11/17 7:30,0.307995375
147,10/11/17 8:45,0.166180286
28,10/11/17 9:05,0.375318623
71,10/11/17 9:12,0.412890501
40,10/11/17 9:38,0.398604083
163,10/11/17 10:30,0.08759623
25,10/11/17 11:10,0.1
68,10/11/17 11:40,0.106622032
56,10/11/17 11:40,0.1
51,10/11/17 11:55,0.210180316
87,10/11/17 11:55,0.212354955
47,10/11/17 12:45,0.233797927
119,10/11/17 13:35,0.291180451
11,10/11/17 13:40,0.461852493
144,10/11/17 13:45,0.389608181
170,10/11/17 14:00,0.1
77,10/11/17 14:06,0.443089937
139,10/11/17 14:15,0.1
101,10/11/17 14:30,0.438790182
155,10/11/17 15:00,0.237962681
161,10/11/17 16:42,0.463734352
127,10/11/17 16:45,0.191789344
178,10/11/17 16:55,0.000150408
61,10/11/17 17:00,0.1
98,10/11/17 17:00,0.307995375
103,10/11/17 17:40,0.262693947
7,10/11/17 17:45,0.1
13,10/11/17 17:57,0.251891717
14,10/11/17 18:08,0.425658723
184,10/11/17 18:45,0.249270211
113,10/11/17 19:00,0.2393342
134,10/11/17 19:25,0.421919852
39,10/11/17 20:00,0.364577913
143,10/11/17 20:30,0.357967107
50,10/11/17 21:20,0.233797927
35,10/11/17 21:35,0.1
108,10/11/17 23:35,0.302220559